evaluation,failure_prevented,n_maintenance_activities,id
92.3387,False,0,ST9250315AS_S2X3XHVM_0
88.8889,False,0,ST9250315AS_S2X3XJ5Y_0
91.5556,False,0,ST9250315AS_S2X3XVNJ_0
36.9048,True,160,ST9250315AS_S2X4KQSS_0
41.0811,True,110,ST9250315AS_S2X4Q9YF_0
94.2149,True,15,ST9250315AS_S2X67TMD_0
89.3258,False,0,ST9250315AS_S2X6AASF_0
92.0502,False,0,ST9250315AS_S2X6AC6T_0
69.8413,False,0,ST9250315AS_S2X6AD81_0
91.2037,False,0,ST9250315AS_S2X6BX15_0
77.1084,False,0,ST9250315AS_S2X6BY4G_0
56.0166,True,213,ST9250315AS_S2X6BY5N_0
91.7749,False,0,ST9250315AS_S2X6CDP8_0
88.6905,False,0,ST9250315AS_S2X6CJK7_0
91.342,True,21,ST9250315AS_S2X6CJVD_0
92.2131,False,0,ST9250315AS_S2X6CKXD_0
91.7526,False,5,ST9250315AS_S2X6CPF9_0
